24.5,51.51,-0.16104,38.554,1.2322,-0.0017596,-0.030921
25,51.51,-0.16104,38.568,1.2409,-0.004022,-0.036679
25.5,51.51,-0.16104,38.591,1.2454,-0.020654,-0.037735
26,51.51,-0.16104,38.585,1.2601,-0.0071107,-0.036055
26.5,51.51,-0.16104,38.567,1.2548,-0.014313,-0.025415
27,51.51,-0.16104,38.547,1.2327,-0.01324,-0.016389
27.5,51.51,-0.16104,38.527,1.2337,-0.031712,-0.0094105
28,51.51,-0.16104,38.508,1.2428,-0.030485,-0.01464
28.5,51.51,-0.16104,38.515,1.2413,-0.033277,-0.015203
29,51.51,-0.16104,38.516,1.2433,-0.038976,-0.019908
29.5,51.51,-0.16104,38.517,1.2428,-0.0342,-0.02451
30,51.51,-0.16104,38.533,1.2484,-0.02177,-0.035179
30.5,51.51,-0.16104,38.56,1.2501,-0.019448,-0.041067
31,51.51,-0.16104,38.572,1.2536,-0.016314,-0.040293
31.5,51.51,-0.16104,38.566,1.2441,-0.0096166,-0.03092
32,51.51,-0.16104,38.57,1.2389,-0.014418,-0.028929
32.5,51.51,-0.16104,38.564,1.1166,-0.029716,-0.016328
33,51.51,-0.16104,38.54,0.93562,-0.04109,-0.0023379
33.5,51.51,-0.16104,38.551,0.72442,-0.058905,-0.010138
34,51.51,-0.16104,38.55,0.48446,-0.060505,-0.015641
34.5,51.51,-0.16104,38.548,0.36434,-0.017039,-0.011009
35,51.51,-0.16104,38.568,0.31744,0.0427,-0.021953
35.5,51.51,-0.16104,38.567,0.25376,0.095318,-0.014072
36,51.51,-0.16104,38.575,0.18674,0.14044,-0.014814
36.5,51.51,-0.16103,38.583,0.12908,0.17224,-0.013007
37,51.51,-0.16103,38.587,0.074158,0.18909,-0.018036
37.5,51.51,-0.16103,38.584,0.013166,0.20646,-0.0094779
38,51.51,-0.16103,38.584,-0.057467,0.21053,-0.0014285
38.5,51.51,-0.16103,38.558,-0.10866,0.18606,0.009959
39,51.51,-0.16103,38.531,-0.17304,0.15443,0.016322
